from_postcode,to_postcode,from_lat,from_long,to_lat,to_long,from_loc_identified,to_loc_identified,route_locs_identified,time_min,distance_km,imputed,no_route
E01005161, M139WL,53.52136281,-2.237167395,53.46243503,-2.22771102, True, True, True,11,9.3,0,0
E01005450, M139WL,53.54363288,-2.087336356,53.46243503,-2.22771102, True, True, True,19,20.9,0,0
E01005782, M139WL,53.38475979,-2.18387651,53.46243503,-2.22771102, True, True, True,14,12,0,0
E01004771, M139WL,53.60942834,-2.435943538,53.46243503,-2.22771102, True, True, True,22,28.2,0,0
E01005485, M139WL,53.6109276,-2.157970109,53.46243503,-2.22771102, True, True, True,26,34.6,0,0
E01018636, M139WL,53.24693616,-2.137157247,53.46243503,-2.22771102, True, True, True,27,30.3,0,0
E01032921, M139WL,53.53472693,-2.125881515,53.46243503,-2.22771102, True, True, True,16,17.9,0,0
E01025528, M139WL,53.54580989,-2.756499537,53.46243503,-2.22771102, True, True, True,29,48,0,0
E01004918, M139WL,53.56751219,-2.373227805,53.46243503,-2.22771102, True, True, True,20,24.2,0,0
E01005034, M139WL,53.53523169,-2.286476056,53.46243503,-2.22771102, True, True, True,14,10.9,0,0
E01004828, M139WL,53.5657078,-2.45318913,53.46243503,-2.22771102, True, True, True,20,25.8,0,0
E01004867, M139WL,53.59034571,-2.448210586,53.46243503,-2.22771102, True, True, True,21,27,0,0
E01004852, M139WL,53.56754476,-2.437822632,53.46243503,-2.22771102, True, True, True,19,25.7,0,0
E01005427, M139WL,53.54149284,-2.099826343,53.46243503,-2.22771102, True, True, True,18,20.4,0,0
E01006006, M139WL,53.49006459,-2.162282534,53.46243503,-2.22771102, True, True, True,11,8.9,0,0
E01006358, M139WL,53.53604755,-2.681925201,53.46243503,-2.22771102, True, True, True,27,43.6,0,0
E01018624, M139WL,53.26111559,-2.125269862,53.46243503,-2.22771102, True, True, True,24,28.2,0,0
E01019715, M139WL,53.25454479,-1.914974297,53.46243503,-2.22771102, True, True, True,40,46.8,0,0
E01005877, M139WL,53.39947752,-2.149258755,53.46243503,-2.22771102, True, True, True,12,10.3,0,0
E01005600, M139WL,53.47961171,-2.344187895,53.46243503,-2.22771102, True, True, True,10,10,0,0
E01005713, M139WL,53.5146165,-2.405984654,53.46243503,-2.22771102, True, True, True,15,17,0,0
E01006188, M139WL,53.46203227,-2.273948303,53.46243503,-2.22771102, True, True, True,7,4.9,0,0
E01006226, M139WL,53.48391745,-2.632232582,53.46243503,-2.22771102, True, True, True,24,35.6,0,0
E01005273, M139WL,53.43640223,-2.228805987,53.46243503,-2.22771102, True, True, True,7,5,0,0
E01005951, M139WL,53.47805,-2.114368,53.46243503,-2.22771102, True, True, True,12,11.3,0,0
E01006040, M139WL,53.45151306,-2.083969468,53.46243503,-2.22771102, True, True, True,12,11.6,0,0
E01025398, M139WL,53.7047145,-2.318408173,53.46243503,-2.22771102, True, True, True,30,42.4,0,0
E01005677, M139WL,53.52567383,-2.336008673,53.46243503,-2.22771102, True, True, True,14,12.1,0,0
E01005382, M139WL,53.522097,-2.127654,53.46243503,-2.22771102, True, True, True,15,17.2,0,0
E01004855, M139WL,53.5511239,-2.390878584,53.46243503,-2.22771102, True, True, True,16,20.9,0,0
E01005240, M139WL,53.452743,-2.243258546,53.46243503,-2.22771102, True, True, True,4,2.6,0,0
E01005702, M139WL,53.5342553,-2.403607744,53.46243503,-2.22771102, True, True, True,17,21.8,0,0
E01005353, M139WL,53.54267207,-2.126418203,53.46243503,-2.22771102, True, True, True,17,18.8,0,0
E01004795, M139WL,53.58436677,-2.381321719,53.46243503,-2.22771102, True, True, True,21,27,0,0
E01005209, M139WL,53.464199,-2.236366,53.46243503,-2.22771102, True, True, True,3,2.1,0,0
E01012637, M139WL,53.73804807,-2.446325,53.46243503,-2.22771102, True, True, True,39,62.1,0,0
E01005286, M139WL,53.4534362,-2.218823394,53.46243503,-2.22771102, True, True, True,4,2.5,0,0
